,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,state,Hour Event Began,time_location
1111,January,2019-01-29,18:34:00,01/29/2019,18:36:00,Louisiana: Washington Parish;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Unknown,Unknown,Washington,18,2019-01-29 18:00:00 | Washington
1112,January,2019-01-30,16:30:00,Unknown,Unknown,Washington:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,Washington,16,2019-01-30 16:00:00 | Washington
1113,January,2019-01-30,04:23:00,02/02/2019,09:00:00,Illinois: Scott County;,SERC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown,Illinois,4,2019-01-30 4:00:00 | Illinois
1114,January,2019-01-30,09:30:00,01/31/2019,18:00:00,Michigan:,RF,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,Michigan,9,2019-01-30 9:00:00 | Michigan
1115,January,2019-01-30,07:00:00,01/30/2019,08:08:00,Illinois: Pike County;,SERC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Severe Weather,Unknown,Unknown,Illinois,7,2019-01-30 7:00:00 | Illinois
1116,January,2019-01-31,21:33:00,01/31/2019,21:34:00,California:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,California,21,2019-01-31 21:00:00 | California
1117,February,2019-02-01,23:57:00,02/02/2019,08:49:00,Nevada,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,1,Nevada,23,2019-02-01 23:00:00 | Nevada
1118,February,2019-02-01,05:35:00,02/01/2019,06:10:00,Massachusetts,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Massachusetts,5,2019-02-01 5:00:00 | Massachusetts
1119,February,2019-02-02,10:28:00,02/02/2019,10:29:00,California,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,California,10,2019-02-02 10:00:00 | California
1120,February,2019-02-05,18:17:00,02/05/2019,20:26:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather,42,33200,California,18,2019-02-05 18:00:00 | California
