EVENT_ID,BEGIN_DATE,time_location_x,EVENT_TYPE,MAGNITUDE,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE,FLOOD_CAUSE,date_state,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Event Type,Number of Customers Affected,state,time_location_y
542862,9/16/14,2014-09-16  14:00:00 | California,Flash Flood, ,750000,0,California,Heavy Rain,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
542863,9/16/14,2014-09-16  14:00:00 | California,Hail,1,0,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544101,9/16/14,2014-09-16  15:00:00 | California,Heavy Rain, ,0,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544100,9/16/14,2014-09-16  15:00:00 | California,Funnel Cloud, ,0,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544102,9/16/14,2014-09-16  15:00:00 | California,Thunderstorm Wind,49,10000,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544103,9/16/14,2014-09-16  16:00:00 | California,Thunderstorm Wind,45,3000,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544104,9/16/14,2014-09-16  16:00:00 | California,Thunderstorm Wind,43,5000,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544105,9/16/14,2014-09-16  17:00:00 | California,Lightning, ,1000,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
538240,9/16/14,2014-09-16  17:00:00 | California,Flash Flood, ,0,0,California,Heavy Rain,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
542864,9/16/14,2014-09-16  17:00:00 | California,Flash Flood, ,100000,0,California,Heavy Rain,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
